name,symbol,contract_addresses
Astrafer,astrafer,"[{'platform': 'ethereum', 'contract_address': '0x97bbbc5d96875fb78d2f14b7ff8d7a3a74106f17'}, {'platform': 'polygon-pos', 'contract_address': '0xdfce1e99a31c4597a3f8a8945cbfa9037655e335'}]"
Band Protocol,BAND,"[{'platform': 'ethereum', 'contract_address': '0xba11d00c5f74255f56a5e366f4f77f5a186d7f55'}]"
Euro Tether,EURT,"[{'platform': 'ethereum', 'contract_address': '0xc581b735a1688071a1746c968e0798d642ede491'}]"
Liquity,LQTY,"[{'platform': 'ethereum', 'contract_address': '0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d'}]"
DAO Maker,DAO,"[{'platform': 'binance-smart-chain', 'contract_address': '0x4d2d32d8652058bf98c772953e1df5c5c85d9f45'}, {'platform': 'ethereum', 'contract_address': '0x0f51bb10119727a7e5ea3538074fb341f56b09ad'}]"
Gains Network,GNS,"[{'platform': 'polygon-pos', 'contract_address': '0xe5417af564e4bfda1c483642db72007871397896'}]"
API3,API3,"[{'platform': 'ethereum', 'contract_address': '0x0b38210ea11411557c13457d4da7dc6ea731b88a'}]"
Coin98,C98,"[{'platform': 'polygon-pos', 'contract_address': '0x77f56cf9365955486b12c4816992388ee8606f0e'}, {'platform': 'binance-smart-chain', 'contract_address': '0xaec945e04baf28b135fa7c640f624f8d90f1c3a6'}, {'platform': 'ethereum', 'contract_address': '0xae12c5930881c53715b369cec7606b70d8eb229f'}]"
Xeno Token,XNO,"[{'platform': 'ethereum', 'contract_address': '0x05bbe7240de66f6480c9aeda77c1376b13393f83'}]"
CORE MultiChain,CMCX,"[{'platform': 'ethereum', 'contract_address': '0x5b685863494c33f344081f75e5430c260c224a32'}, {'platform': 'binance-smart-chain', 'contract_address': '0xb2343143f814639c9b1f42961c698247171df34a'}]"
Aragon Network,ANT,"[{'platform': 'ethereum', 'contract_address': '0xa117000000f279d81a1d3cc75430faa017fa5a2e'}]"
ConstitutionDAO,PEOPLE,"[{'platform': 'ethereum', 'contract_address': '0x7a58c0be72be218b41c608b7fe7c5bb630736c71'}]"
Metis,MTS,"[{'platform': 'ethereum', 'contract_address': '0xa9598333b99d14d90bc81cad8af82c4c70625e75'}]"
iExec RLC,RLC,"[{'platform': 'ethereum', 'contract_address': '0x607f4c5bb672230e8672085532f7e901544a7375'}]"
TOMI,TOMI,"[{'platform': 'polygon-pos', 'contract_address': '0xcd966b72cff52dc349089b6b6f5865b5743b4e08'}]"
VVS Finance,VVS,"[{'platform': 'ethereum', 'contract_address': '0x839e71613f9aa06e5701cf6de63e303616b0dde3'}]"
AiLink Token,ALI,"[{'platform': 'ethereum', 'contract_address': '0x4289c043a12392f1027307fb58272d8ebd853912'}]"
Celer Network,CELR,"[{'platform': 'ethereum', 'contract_address': '0x4f9254c83eb525f9fcf346490bbb3ed28a81c667'}, {'platform': 'arbitrum-one', 'contract_address': '0x3a8b787f78d775aecfeea15706d4221b40f345ab'}]"
Function X,FX,"[{'platform': 'ethereum', 'contract_address': '0x8c15ef5b4b21951d50e53e4fbda8298ffad25057'}]"
Smooth Love Potion,SLP,"[{'platform': 'ethereum', 'contract_address': '0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25'}]"
Everscale,ever,"[{'platform': 'ethereum', 'contract_address': '0xdb3c2515da400e11bcaf84f3b5286f18fff1868f'}]"
Numeraire,NMR,"[{'platform': 'ethereum', 'contract_address': '0x1776e1f26f98b1a5df9cd347953a26dd3cb46671'}]"
Status,SNT,"[{'platform': 'ethereum', 'contract_address': '0x744d70fdbe2ba4cf95131626614a1763df805b9e'}]"
Ankr Reward-Bearing Staked ETH,AETHC,"[{'platform': 'ethereum', 'contract_address': '0xe95a203b1a91a908f9b9ce46459d101078c2c3cb'}]"
Alice,ALICE,"[{'platform': 'ethereum', 'contract_address': '0xac51066d7bec65dc4589368da368b212745d63e8'}, {'platform': 'binance-smart-chain', 'contract_address': '0xac51066d7bec65dc4589368da368b212745d63e8'}]"
CoinEx Token,CET,"[{'platform': 'ethereum', 'contract_address': '0x081f67afa0ccf8c7b17540767bbe95df2ba8d97f'}]"
Hashflow,hft,"[{'platform': 'ethereum', 'contract_address': '0xb3999f658c0391d94a37f7ff328f3fec942bcadc'}, {'platform': 'binance-smart-chain', 'contract_address': '0x44ec807ce2f4a6f2737a92e985f318d035883e47'}]"
Gitcoin,GTC,"[{'platform': 'ethereum', 'contract_address': '0xde30da39c46104798bb5aa3fe8b9e0e1f348163f'}]"
Merit Circle,MC,"[{'platform': 'binance-smart-chain', 'contract_address': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6'}, {'platform': 'ethereum', 'contract_address': '0x949d48eca67b17269629c7194f4b727d4ef9e5d6'}]"
COCOS BCX,COCOS,"[{'platform': 'ethereum', 'contract_address': '0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c'}]"
APENFT,NFT,"[{'platform': 'ethereum', 'contract_address': '0x198d14f2ad9ce69e76ea330b374de4957c3f850a'}, {'platform': 'binance-smart-chain', 'contract_address': '0x20ee7b720f4e4c4ffcb00c4065cdae55271aecca'}]"
Orbs,ORBS,"[{'platform': 'ethereum', 'contract_address': '0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa'}, {'platform': 'polygon-pos', 'contract_address': '0x614389eaae0a6821dc49062d56bda3d9d45fa2ff'}, {'platform': 'binance-smart-chain', 'contract_address': '0xebd49b26169e1b52c04cfd19fcf289405df55f80'}]"
Wrapped Centrifuge,WCFG,"[{'platform': 'ethereum', 'contract_address': '0xc221b7e65ffc80de234bbb6667abdd46593d34f0'}]"
Ren,REN,"[{'platform': 'ethereum', 'contract_address': '0x408e41876cccdc0f92210600ef50372656052a38'}]"
DeXe,DEXE,"[{'platform': 'binance-smart-chain', 'contract_address': '0x039cb485212f996a9dbb85a9a75d898f94d38da6'}, {'platform': 'ethereum', 'contract_address': '0xde4ee8057785a7e8e800db58f9784845a5c2cbd6'}]"
Dent,DENT,"[{'platform': 'ethereum', 'contract_address': '0x3597bfd533a99c9aa083587b074434e61eb0a258'}]"
Cartesi,CTSI,"[{'platform': 'optimistic-ethereum', 'contract_address': '0xec6adef5e1006bb305bb1975333e8fc4071295bf'}, {'platform': 'ethereum', 'contract_address': '0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d'}, {'platform': 'polygon-pos', 'contract_address': '0x2727ab1c2d22170abc9b595177b2d5c6e1ab7b7b'}, {'platform': 'arbitrum-one', 'contract_address': '0x319f865b287fcc10b30d8ce6144e8b6d1b476999'}, {'platform': 'binance-smart-chain', 'contract_address': '0x8da443f84fea710266c8eb6bc34b71702d033ef2'}]"
Krypton DAO,krd,"[{'platform': 'binance-smart-chain', 'contract_address': '0xb020805e0bc7f0e353d1343d67a239f417d57bbf'}]"
Voyager Token,VGX,"[{'platform': 'ethereum', 'contract_address': '0x16987c021c14ca1045cd0afebb33c124a58bf16c'}]"
Everipedia,IQ,"[{'platform': 'ethereum', 'contract_address': '0x579cea1889991f68acc35ff5c3dd0621ff29b0c9'}, {'platform': 'polygon-pos', 'contract_address': '0xb9638272ad6998708de56bbc0a290a1de534a578'}, {'platform': 'binance-smart-chain', 'contract_address': '0x0e37d70b51ffa2b98b4d34a5712c5291115464e3'}]"
Nest Protocol,NEST,"[{'platform': 'polygon-pos', 'contract_address': '0x98f8669f6481ebb341b522fcd3663f79a3d1a6a7'}, {'platform': 'binance-smart-chain', 'contract_address': '0x98f8669f6481ebb341b522fcd3663f79a3d1a6a7'}, {'platform': 'ethereum', 'contract_address': '0x04abeda201850ac0124161f037efd70c74ddc74c'}]"
SFMoney,SFM,"[{'platform': 'binance-smart-chain', 'contract_address': '0x3a66d3d2edb25182430d01b991bc6eac73ad5aa8'}]"
dKargo,DKA,"[{'platform': 'ethereum', 'contract_address': '0x5dc60c4d5e75d22588fa17ffeb90a63e535efce0'}]"
Humanscape,HUM,"[{'platform': 'ethereum', 'contract_address': '0x07327a00ba28d413f745c931bbe6be053b0ad2a6'}]"
MVL,MVL,"[{'platform': 'ethereum', 'contract_address': '0xa849eaae994fb86afa73382e9bd88c2b6b18dc71'}, {'platform': 'binance-smart-chain', 'contract_address': '0x5f588efaf8eb57e3837486e834fc5a4e07768d98'}]"
Tenset,10SET,"[{'platform': 'binance-smart-chain', 'contract_address': '0x1ae369a6ab222aff166325b7b87eb9af06c86e57'}]"
Keep Network,KEEP,"[{'platform': 'ethereum', 'contract_address': '0x85eee30c52b0b379b046fb0f85f4f3dc3009afec'}]"
Metars Genesis,mrs,"[{'platform': 'binance-smart-chain', 'contract_address': '0x238d02ee3f80fbf5e381f049616025c186889b68'}]"
flexUSD,FLEXUSD,"[{'platform': 'ethereum', 'contract_address': '0xa774ffb4af6b0a91331c084e1aebae6ad535e6f3'}]"
XYO,XYO,"[{'platform': 'ethereum', 'contract_address': '0x55296f69f40ea6d20e478533c15a6b08b654e758'}]"
Fidu,fidu,"[{'platform': 'ethereum', 'contract_address': '0x6a445e9f40e0b97c92d0b8a3366cef1d67f700bf'}]"
Radiant Capital,rdnt,"[{'platform': 'arbitrum-one', 'contract_address': '0x0c4681e6c0235179ec3d4f4fc4df3d14fdd96017'}]"
Gravitoken,GRV,"[{'platform': 'binance-smart-chain', 'contract_address': '0x1337ace33c2b3fc17d85f33dbd0ed73a896148b5'}]"
StormX,STMX,"[{'platform': 'ethereum', 'contract_address': '0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c'}]"
Origin Protocol,OGN,"[{'platform': 'ethereum', 'contract_address': '0x8207c1ffc5b6804f6024322ccf34f29c3541ae26'}]"
XCAD Network,XCAD,"[{'platform': 'ethereum', 'contract_address': '0x7659ce147d0e714454073a5dd7003544234b6aa0'}, {'platform': 'polygon-pos', 'contract_address': '0xa55870278d6389ec5b524553d03c04f5677c061e'}, {'platform': 'arbitrum-one', 'contract_address': '0x921f99719eb6c01b4b8f0ba7973a7c24891e740a'}, {'platform': 'binance-smart-chain', 'contract_address': '0xa026ad2ceda16ca5fc28fd3c72f99e2c332c8a26'}]"
Nexa,nxg,"[{'platform': 'binance-smart-chain', 'contract_address': '0xb2fee738d28cb3095ae7ad3aea2b4a53683afb4b'}]"
Verasity,VRA,"[{'platform': 'ethereum', 'contract_address': '0xf411903cbc70a74d22900a5de66a2dda66507255'}]"
Beta Finance,BETA,"[{'platform': 'binance-smart-chain', 'contract_address': '0xbe1a001fe942f96eea22ba08783140b9dcc09d28'}, {'platform': 'ethereum', 'contract_address': '0xbe1a001fe942f96eea22ba08783140b9dcc09d28'}]"
Redacted,btrfly,"[{'platform': 'ethereum', 'contract_address': '0xc55126051b22ebb829d00368f4b12bde432de5da'}]"
Euler,eul,"[{'platform': 'ethereum', 'contract_address': '0xd9fcd98c322942075a5c3860693e9f4f03aae07b'}]"
UTRUST,UTK,"[{'platform': 'ethereum', 'contract_address': '0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c'}]"
Automata Network,ATA,"[{'platform': 'binance-smart-chain', 'contract_address': '0xa2120b9e674d3fc3875f415a7df52e382f141225'}, {'platform': 'ethereum', 'contract_address': '0xa2120b9e674d3fc3875f415a7df52e382f141225'}, {'platform': 'polygon-pos', 'contract_address': '0x0df0f72ee0e5c9b7ca761ecec42754992b2da5bf'}]"
Wrapped Nexus Mutual,WNXM,"[{'platform': 'ethereum', 'contract_address': '0x0d438f3b5175bebc262bf23753c1e53d03432bde'}]"
Storj,STORJ,"[{'platform': 'ethereum', 'contract_address': '0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac'}]"
Veritaseum,VERI,"[{'platform': 'ethereum', 'contract_address': '0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374'}]"
Aergo,AERGO,"[{'platform': 'ethereum', 'contract_address': '0x91af0fbb28aba7e31403cb457106ce79397fd4e6'}]"
LCX,LCX,"[{'platform': 'ethereum', 'contract_address': '0x037a54aab062628c9bbae1fdb1583c195585fe41'}]"
Gami,gami,"[{'platform': 'binance-smart-chain', 'contract_address': '0xf0dcf7ac48f8c745f2920d03dff83f879b80d438'}]"
Stader MaticX,maticx,"[{'platform': 'ethereum', 'contract_address': '0xf03a7eb46d01d9ecaa104558c732cf82f6b6b645'}, {'platform': 'polygon-pos', 'contract_address': '0xfa68fb4628dff1028cfec22b4162fccd0d45efb6'}]"
Dopex,DPX,"[{'platform': 'arbitrum-one', 'contract_address': '0x6c2c06790b3e3e3c38e12ee22f8183b37a13ee55'}, {'platform': 'ethereum', 'contract_address': '0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81'}]"
SUN,SUN,"[{'platform': 'ethereum', 'contract_address': '0x7cc61e3ae6360e923e9296c802382ec7c9dd3652'}]"
Rally,RLY,"[{'platform': 'ethereum', 'contract_address': '0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b'}]"
Selfkey,KEY,"[{'platform': 'ethereum', 'contract_address': '0x4cc19356f2d37338b9802aa8e8fc58b0373296e7'}]"
Unizen,ZCX,"[{'platform': 'ethereum', 'contract_address': '0xc52c326331e9ce41f04484d3b5e5648158028804'}]"
Dawn,DAWN,"[{'platform': 'ethereum', 'contract_address': '0x580c8520deda0a441522aeae0f9f7a5f29629afa'}]"
Meter,MTRG,"[{'platform': 'binance-smart-chain', 'contract_address': '0xbd2949f67dcdc549c6ebe98696449fa79d988a9f'}]"
A Hunters Dream,caw,"[{'platform': 'ethereum', 'contract_address': '0xf3b9569f82b18aef890de263b84189bd33ebe452'}]"
Perpetual Protocol,PERP,"[{'platform': 'ethereum', 'contract_address': '0xbc396689893d065f41bc2c6ecbee5e0085233447'}, {'platform': 'arbitrum-one', 'contract_address': '0x753d224bcf9aafacd81558c32341416df61d3dac'}, {'platform': 'binance-smart-chain', 'contract_address': '0x4e7f408be2d4e9d60f49a64b89bb619c84c7c6f5'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x9e1028f5f1d5ede59748ffcee5532509976840e0'}]"
Aavegotchi,GHST,"[{'platform': 'ethereum', 'contract_address': '0x3f382dbd960e3a9bbceae22651e88158d2791550'}, {'platform': 'polygon-pos', 'contract_address': '0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7'}]"
BoringDAO [OLD],BOR,"[{'platform': 'ethereum', 'contract_address': '0x3c9d6c1c73b31c837832c72e04d3152f051fc1a9'}, {'platform': 'binance-smart-chain', 'contract_address': '0x92d7756c60dcfd4c689290e8a9f4d263b3b32241'}]"
Velas,VLX,"[{'platform': 'ethereum', 'contract_address': '0x8c543aed163909142695f2d2acd0d55791a9edb9'}, {'platform': 'binance-smart-chain', 'contract_address': '0xe9c803f48dffe50180bd5b01dc04da939e3445fc'}]"
SuperFarm,SUPER,"[{'platform': 'binance-smart-chain', 'contract_address': '0x51ba0b044d96c3abfca52b64d733603ccc4f0d4d'}, {'platform': 'ethereum', 'contract_address': '0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55'}, {'platform': 'polygon-pos', 'contract_address': '0xa1428174f516f527fafdd146b883bb4428682737'}]"
Aura BAL,aurabal,"[{'platform': 'ethereum', 'contract_address': '0x616e8bfa43f920657b3497dbf40d6b1a02d4608d'}]"
Strike,STRK,"[{'platform': 'ethereum', 'contract_address': '0x74232704659ef37c08995e386a2e26cc27a8d7b1'}]"
Loom Network (OLD),LOOMOLD,"[{'platform': 'ethereum', 'contract_address': '0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0'}]"
Cybereits,CRE,"[{'platform': 'ethereum', 'contract_address': '0x61f33da40594cec1e3dc900faf99f861d01e2e7d'}]"
